Question,Answer
What is the Genre of The Shawshank Redemption?,"The Shawshank Redemption is of Drama genre. Summary: Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
Who is the Director of The Shawshank Redemption?,"The Director of The Shawshank Redemption is Frank Darabont. Summary: Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
What is the IMDB Rating of The Shawshank Redemption?,"The IMDB Rating of The Shawshank Redemption is 9.3. Summary: Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
What is the Runtime of The Shawshank Redemption?,"The Runtime of The Shawshank Redemption is 142. Summary: Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
What is the Genre of The Godfather?,"The Godfather is of Crime, Drama genre. Summary: An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son."
Who is the Director of The Godfather?,The Director of The Godfather is Francis Ford Coppola. Summary: An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
What is the IMDB Rating of The Godfather?,The IMDB Rating of The Godfather is 9.2. Summary: An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
What is the Runtime of The Godfather?,The Runtime of The Godfather is 175. Summary: An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
What is the Genre of The Dark Knight?,"The Dark Knight is of Action, Crime, Drama genre. Summary: When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Who is the Director of The Dark Knight?,"The Director of The Dark Knight is Christopher Nolan. Summary: When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
What is the IMDB Rating of The Dark Knight?,"The IMDB Rating of The Dark Knight is 9.0. Summary: When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
What is the Runtime of The Dark Knight?,"The Runtime of The Dark Knight is 152. Summary: When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
What is the Genre of The Godfather: Part II?,"The Godfather: Part II is of Crime, Drama genre. Summary: The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
Who is the Director of The Godfather: Part II?,"The Director of The Godfather: Part II is Francis Ford Coppola. Summary: The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
What is the IMDB Rating of The Godfather: Part II?,"The IMDB Rating of The Godfather: Part II is 9.0. Summary: The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
What is the Runtime of The Godfather: Part II?,"The Runtime of The Godfather: Part II is 202. Summary: The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
What is the Genre of 12 Angry Men?,"12 Angry Men is of Crime, Drama genre. Summary: A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence."
Who is the Director of 12 Angry Men?,The Director of 12 Angry Men is Sidney Lumet. Summary: A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
What is the IMDB Rating of 12 Angry Men?,The IMDB Rating of 12 Angry Men is 9.0. Summary: A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
What is the Runtime of 12 Angry Men?,The Runtime of 12 Angry Men is 96. Summary: A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
What is the Genre of The Lord of the Rings: The Return of the King?,"The Lord of the Rings: The Return of the King is of Action, Adventure, Drama genre. Summary: Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
Who is the Director of The Lord of the Rings: The Return of the King?,The Director of The Lord of the Rings: The Return of the King is Peter Jackson. Summary: Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
What is the IMDB Rating of The Lord of the Rings: The Return of the King?,The IMDB Rating of The Lord of the Rings: The Return of the King is 8.9. Summary: Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
What is the Runtime of The Lord of the Rings: The Return of the King?,The Runtime of The Lord of the Rings: The Return of the King is 201. Summary: Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
What is the Genre of Pulp Fiction?,"Pulp Fiction is of Crime, Drama genre. Summary: The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Who is the Director of Pulp Fiction?,"The Director of Pulp Fiction is Quentin Tarantino. Summary: The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
What is the IMDB Rating of Pulp Fiction?,"The IMDB Rating of Pulp Fiction is 8.9. Summary: The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
What is the Runtime of Pulp Fiction?,"The Runtime of Pulp Fiction is 154. Summary: The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
What is the Genre of Schindler's List?,"Schindler's List is of Biography, Drama, History genre. Summary: In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Who is the Director of Schindler's List?,"The Director of Schindler's List is Steven Spielberg. Summary: In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
What is the IMDB Rating of Schindler's List?,"The IMDB Rating of Schindler's List is 8.9. Summary: In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
What is the Runtime of Schindler's List?,"The Runtime of Schindler's List is 195. Summary: In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
What is the Genre of Inception?,"Inception is of Action, Adventure, Sci-Fi genre. Summary: A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O."
Who is the Director of Inception?,The Director of Inception is Christopher Nolan. Summary: A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
What is the IMDB Rating of Inception?,The IMDB Rating of Inception is 8.8. Summary: A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
What is the Runtime of Inception?,The Runtime of Inception is 148. Summary: A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
What is the Genre of Fight Club?,"Fight Club is of Drama genre. Summary: An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
Who is the Director of Fight Club?,"The Director of Fight Club is David Fincher. Summary: An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
What is the IMDB Rating of Fight Club?,"The IMDB Rating of Fight Club is 8.8. Summary: An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
What is the Runtime of Fight Club?,"The Runtime of Fight Club is 139. Summary: An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
What is the Genre of The Lord of the Rings: The Fellowship of the Ring?,"The Lord of the Rings: The Fellowship of the Ring is of Action, Adventure, Drama genre. Summary: A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
Who is the Director of The Lord of the Rings: The Fellowship of the Ring?,The Director of The Lord of the Rings: The Fellowship of the Ring is Peter Jackson. Summary: A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
What is the IMDB Rating of The Lord of the Rings: The Fellowship of the Ring?,The IMDB Rating of The Lord of the Rings: The Fellowship of the Ring is 8.8. Summary: A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
What is the Runtime of The Lord of the Rings: The Fellowship of the Ring?,The Runtime of The Lord of the Rings: The Fellowship of the Ring is 178. Summary: A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
What is the Genre of Forrest Gump?,"Forrest Gump is of Drama, Romance genre. Summary: The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
Who is the Director of Forrest Gump?,"The Director of Forrest Gump is Robert Zemeckis. Summary: The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
What is the IMDB Rating of Forrest Gump?,"The IMDB Rating of Forrest Gump is 8.8. Summary: The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
What is the Runtime of Forrest Gump?,"The Runtime of Forrest Gump is 142. Summary: The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
"What is the Genre of Il buono, il brutto, il cattivo?","Il buono, il brutto, il cattivo is of Western genre. Summary: A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery."
"Who is the Director of Il buono, il brutto, il cattivo?","The Director of Il buono, il brutto, il cattivo is Sergio Leone. Summary: A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery."
"What is the IMDB Rating of Il buono, il brutto, il cattivo?","The IMDB Rating of Il buono, il brutto, il cattivo is 8.8. Summary: A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery."
"What is the Runtime of Il buono, il brutto, il cattivo?","The Runtime of Il buono, il brutto, il cattivo is 161. Summary: A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery."
